"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.809359765E1,4.132343642E1,1.976062184E1,1.112136781E2,1.516397409E2,7.545672383E-2,NaN,3.549203230E-2,2.375612446E0,9.691497593E0,-1.000000000E0
5.909347224E1,4.132343640E1,1.976062163E1,1.113793093E2,1.518053709E2,5.467739450E-2,NaN,3.550790128E-2,2.361774214E0,1.002779268E1,-1.000000000E0
6.010008442E1,4.132343642E1,1.976062144E1,1.114543578E2,1.518804184E2,4.986164886E-2,NaN,3.551259049E-2,2.348273795E0,1.007714744E1,-1.000000000E0
6.109366584E1,4.132343645E1,1.976062140E1,1.114174606E2,1.518435212E2,3.084453352E-2,NaN,3.553750019E-2,2.348075450E0,1.016619553E1,-1.000000000E0
6.209464073E1,4.132343649E1,1.976062111E1,1.114841961E2,1.519102552E2,5.121357811E-2,NaN,3.556166228E-2,2.335529726E0,1.074304409E1,-1.000000000E0
6.309375119E1,4.132343652E1,1.976062082E1,1.113556112E2,1.517816688E2,1.302584683E-2,NaN,3.556783827E-2,2.323368071E0,1.093275723E1,-1.000000000E0
6.410041690E1,4.132343653E1,1.976062075E1,1.114293736E2,1.518554309E2,8.722379134E-2,NaN,3.560146960E-2,2.323297051E0,1.096701094E1,-1.000000000E0
6.509513462E1,4.132343657E1,1.976062035E1,1.113413393E2,1.517673946E2,3.635162819E-2,NaN,3.563823061E-2,2.311339181E0,1.115790203E1,-1.000000000E0
6.609337974E1,4.132343658E1,1.976061991E1,1.112626987E2,1.516887516E2,2.474701804E-2,NaN,3.567539042E-2,2.299828509E0,1.143616862E1,-1.000000000E0
6.709484649E1,4.132343654E1,1.976061947E1,1.112009563E2,1.516270066E2,7.738115454E-2,NaN,3.571725833E-2,2.289024877E0,1.181440206E1,-1.000000000E0
6.809886777E1,4.132343647E1,1.976061898E1,1.110776801E2,1.515037274E2,4.754507448E-2,NaN,3.572157040E-2,2.278892220E0,1.218515394E1,-1.000000000E0
6.909411979E1,4.132343651E1,1.976061898E1,1.108932492E2,1.513192967E2,1.043613170E-1,NaN,3.572428218E-2,2.278867410E0,1.221439181E1,-1.000000000E0
7.009262097E1,4.132343651E1,1.976061895E1,1.109880174E2,1.514140648E2,4.682493682E-2,NaN,3.577081683E-2,2.278614352E0,1.211061010E1,-1.000000000E0
7.109289634E1,4.132343649E1,1.976061839E1,1.109226395E2,1.513486837E2,4.380166475E-2,NaN,3.581160478E-2,2.268502254E0,1.230165409E1,-1.000000000E0
7.209860849E1,4.132343647E1,1.976061790E1,1.108939231E2,1.513199645E2,2.560536528E-1,NaN,3.584985231E-2,2.258708867E0,1.211810194E1,-1.000000000E0
7.309281337E1,4.132343644E1,1.976061745E1,1.108562984E2,1.512823372E2,5.266656235E-2,NaN,3.585552877E-2,2.249167299E0,1.220154062E1,-1.000000000E0
7.409343517E1,4.132343642E1,1.976061738E1,1.110017692E2,1.514278076E2,1.805649438E-2,NaN,3.586220914E-2,2.249055397E0,1.242479932E1,-1.000000000E0
7.509340239E1,4.132343648E1,1.976061740E1,1.108782953E2,1.513043341E2,7.489671534E-2,NaN,3.588885269E-2,2.248866608E0,1.237159352E1,-1.000000000E0
7.610004115E1,4.132343645E1,1.976061771E1,1.108238178E2,1.512498581E2,6.825908307E-2,NaN,3.592383088E-2,2.234793003E0,1.243525004E1,-1.000000000E0
7.709392393E1,4.132343651E1,1.976061730E1,1.107101981E2,1.511362364E2,7.707019023E-2,NaN,3.595098093E-2,2.225294255E0,1.252397351E1,-1.000000000E0
