"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.149794167E0,2.936465454E1,-1.590790558E1,3.955606079E1,5.176897084E1
1.159725167E0,2.906649780E1,-1.604851532E1,3.949061584E1,5.159384535E1
1.169657167E0,2.928025818E1,-1.617506409E1,3.952023315E1,5.177658782E1
1.179589167E0,2.935430145E1,-1.585244751E1,3.932951355E1,5.157311065E1
1.189520167E0,2.956398010E1,-1.584739685E1,3.947229004E1,5.179990914E1
1.199452167E0,2.935588837E1,-1.605056763E1,3.962271881E1,5.185893124E1
1.209383167E0,2.949175262E1,-1.598791504E1,4.022579193E1,5.237834702E1
1.219315167E0,2.959144592E1,-1.581394196E1,3.977738571E1,5.203820564E1
1.229247167E0,2.968053436E1,-1.584759521E1,3.974562836E1,5.207490151E1
1.239178167E0,2.926856995E1,-1.597473907E1,3.958633041E1,5.175827500E1
1.249110167E0,2.953696442E1,-1.605653381E1,3.989896393E1,5.217443692E1
1.259042167E0,2.970756531E1,-1.581401825E1,3.947508240E1,5.187393122E1
1.268973167E0,2.982639313E1,-1.620980072E1,3.949833679E1,5.208157040E1
1.278905167E0,2.940673065E1,-1.621282196E1,3.965182114E1,5.196035338E1
1.288837167E0,2.974057007E1,-1.617433929E1,3.969421387E1,5.217031123E1
1.298768167E0,2.963540649E1,-1.588189697E1,3.962802505E1,5.196991764E1
1.308700167E0,2.944059753E1,-1.622187805E1,3.946738815E1,5.184180589E1
1.318632167E0,2.925289917E1,-1.620856476E1,3.936874771E1,5.165605461E1
1.328563167E0,2.953492737E1,-1.615517426E1,3.923812103E1,5.170040360E1
1.338495667E0,2.958839417E1,-1.602100372E1,3.927861023E1,5.171996569E1
1.348426667E0,2.972034454E1,-1.614099121E1,3.952652740E1,5.202092700E1
1.358358667E0,2.925291443E1,-1.619018555E1,3.917166901E1,5.150024042E1
1.368290667E0,2.947709656E1,-1.610302734E1,3.947592163E1,5.183198915E1
1.378221667E0,2.949959564E1,-1.571766663E1,3.933717346E1,5.162058120E1
1.388153667E0,2.933269501E1,-1.598197174E1,3.944104385E1,5.168584291E1
1.398085667E0,2.897148895E1,-1.635449982E1,3.953576660E1,5.167101390E1
1.408016667E0,2.898085785E1,-1.626993561E1,3.943681717E1,5.157386426E1
1.417948667E0,2.930821991E1,-1.584363556E1,3.901314926E1,5.130320026E1
