"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.800036667E-1,1.189184570E1,3.098563766E1,-2.130047607E1,3.943648079E1
8.899336667E-1,1.226753235E1,3.095454788E1,-2.157809448E1,3.967733038E1
8.998636667E-1,1.153173065E1,3.087272263E1,-2.157798004E1,3.939181434E1
9.097946667E-1,1.214050293E1,3.103972244E1,-2.160095978E1,3.971722100E1
9.197246667E-1,1.195800018E1,3.114884186E1,-2.126786804E1,3.956723807E1
9.296546667E-1,1.198950958E1,3.109172821E1,-2.145762634E1,3.963424821E1
9.395856667E-1,1.190217590E1,3.127352142E1,-2.119167328E1,3.960785212E1
9.495156667E-1,1.202988434E1,3.129408646E1,-2.130783844E1,3.972482779E1
9.594456667E-1,1.196155548E1,3.093809509E1,-2.092226410E1,3.921716043E1
9.693756667E-1,1.197284698E1,3.096482468E1,-2.129412079E1,3.944120957E1
9.793066667E-1,1.210473633E1,3.129201889E1,-2.132466125E1,3.975495272E1
9.892366667E-1,1.209387207E1,3.124590683E1,-2.131327057E1,3.970924247E1
9.991666667E-1,1.201210022E1,3.122853851E1,-2.100493622E1,3.950594278E1
1.009096667E0,1.216644287E1,3.120708847E1,-2.118128204E1,3.963018309E1
1.019027667E0,1.196842957E1,3.099801254E1,-2.099871063E1,3.930732675E1
1.028957667E0,1.222666931E1,3.105179214E1,-2.147756958E1,3.968615921E1
1.038887667E0,1.193237305E1,3.097350693E1,-2.112441254E1,3.934438286E1
1.048818667E0,1.210012054E1,3.096294785E1,-2.134889984E1,3.950813310E1
1.058748667E0,1.184531403E1,3.121435165E1,-2.141287994E1,3.966306394E1
1.068678667E0,1.180207062E1,3.123686981E1,-2.131744385E1,3.961646525E1
1.078608667E0,1.190180206E1,3.122961044E1,-2.177808380E1,3.989017918E1
1.088539667E0,1.217976379E1,3.139170074E1,-2.152805328E1,3.996551764E1
1.098469667E0,1.190778351E1,3.152815247E1,-2.112768555E1,3.977686265E1
1.108399667E0,1.192996979E1,3.124728012E1,-2.123126984E1,3.961670750E1
1.118329667E0,1.181037140E1,3.099320602E1,-2.132259369E1,3.942989594E1
1.128260667E0,1.200978088E1,3.117667770E1,-2.138259125E1,3.966655112E1
1.138190667E0,1.153990936E1,3.100044632E1,-2.138121796E1,3.938722714E1
1.148120667E0,1.195093536E1,3.124014282E1,-2.134952545E1,3.968089738E1
1.158050667E0,1.192472839E1,3.130469513E1,-2.113369751E1,3.960828518E1
1.167981667E0,1.207629395E1,3.132009888E1,-2.143170166E1,3.982591248E1
1.177911667E0,1.158703613E1,3.131427383E1,-2.114645386E1,3.952234384E1
1.187841667E0,1.200136566E1,3.108266068E1,-2.119098663E1,3.948699136E1
1.197771667E0,1.171981812E1,3.120206070E1,-2.110032654E1,3.944802287E1
1.207702667E0,1.187826538E1,3.114014816E1,-2.110520172E1,3.944910082E1
1.217632667E0,1.189638519E1,3.132608795E1,-2.099968719E1,3.954534902E1
1.227562667E0,1.202847290E1,3.135530090E1,-2.086123657E1,3.953517733E1
1.237492667E0,1.177893066E1,3.152220154E1,-2.120956421E1,3.977735551E1
1.247423667E0,1.207300568E1,3.127684784E1,-2.122113037E1,3.967789121E1
1.257353667E0,1.213117218E1,3.133495331E1,-2.097600555E1,3.961107732E1
1.267283667E0,1.234893799E1,3.153059006E1,-2.101346588E1,3.985273049E1
1.277214667E0,1.185189056E1,3.136695480E1,-2.092608643E1,3.952536220E1
1.287144667E0,1.209167480E1,3.122765350E1,-2.102492523E1,3.954013687E1
1.297074667E0,1.169808960E1,3.119525528E1,-2.081305695E1,3.928323550E1
1.307004667E0,1.192872620E1,3.107603455E1,-2.080297852E1,3.925274955E1
1.316935667E0,1.192897797E1,3.127706909E1,-2.079476166E1,3.940783778E1
