"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.346920292E0,-6.498485565E0,-1.817692566E1,-4.284013367E1,4.698838148E1
2.356851292E0,-6.564441681E0,-1.827579498E1,-4.286896515E1,4.706213711E1
2.366782292E0,-6.549777985E0,-1.858363342E1,-4.294260406E1,4.724741545E1
2.376713292E0,-6.396766663E0,-1.827883911E1,-4.311985016E1,4.726897567E1
2.386644292E0,-6.515361786E0,-1.850965118E1,-4.322069550E1,4.746667932E1
2.396575292E0,-6.487251282E0,-1.864170074E1,-4.337211609E1,4.765226007E1
2.406506292E0,-6.345478058E0,-1.868863678E1,-4.338106537E1,4.765970068E1
2.416437292E0,-6.167316437E0,-1.853110504E1,-4.306152344E1,4.728353251E1
2.426368292E0,-6.194286346E0,-1.829985046E1,-4.311100006E1,4.724205792E1
2.436299292E0,-6.173362732E0,-1.839237213E1,-4.300674438E1,4.718018464E1
2.446230292E0,-6.131175995E0,-1.819482422E1,-4.291439819E1,4.701370566E1
2.456161292E0,-6.217437744E0,-1.836501312E1,-4.286770630E1,4.704859703E1
2.466092292E0,-6.203834534E0,-1.834022522E1,-4.314311218E1,4.728826020E1
2.476023292E0,-5.992267609E0,-1.847590637E1,-4.315019989E1,4.732025082E1
2.485954292E0,-6.090671539E0,-1.840811157E1,-4.324131775E1,4.738951796E1
2.495885292E0,-6.160552979E0,-1.843723297E1,-4.307167053E1,4.725518781E1
2.505816292E0,-5.987041473E0,-1.829157257E1,-4.318779755E1,4.728226041E1
2.515747292E0,-6.332218170E0,-1.847120667E1,-4.336170197E1,4.755543775E1
2.525678292E0,-5.982238770E0,-1.844693756E1,-4.331755829E1,4.746037866E1
2.535609292E0,-6.108688354E0,-1.857587433E1,-4.277492523E1,4.703268448E1
2.545541292E0,-6.239921570E0,-1.832194519E1,-4.288955688E1,4.705469569E1
2.555472292E0,-6.236827850E0,-1.849892426E1,-4.304822540E1,4.726793766E1
2.565405542E0,-6.284545898E0,-1.842059326E1,-4.310308838E1,4.729365709E1
2.575336542E0,-6.255302429E0,-1.855092621E1,-4.305987549E1,4.730135885E1
2.585267542E0,-6.220497131E0,-1.845987701E1,-4.303687286E1,4.724017432E1
2.595198542E0,-6.458644867E0,-1.875837708E1,-4.320541382E1,4.754259761E1
