"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.920428125E0,1.248754120E1,-1.584341431E1,-5.087377167E1,5.472744381E1
1.930361125E0,1.254672241E1,-1.555657959E1,-5.043938446E1,5.425457508E1
1.940293125E0,1.225366974E1,-1.603855896E1,-5.010276031E1,5.401550136E1
1.950226125E0,1.216688538E1,-1.577558899E1,-5.033832550E1,5.413731912E1
1.960158125E0,1.225174713E1,-1.612045288E1,-5.040682220E1,5.432146936E1
1.970090542E0,1.239121246E1,-1.583450317E1,-4.991558075E1,5.381299879E1
1.980022542E0,1.212310791E1,-1.586140442E1,-4.992572021E1,5.376924246E1
1.989955542E0,1.215429688E1,-1.572242737E1,-5.048052216E1,5.425131125E1
1.999887542E0,1.199255371E1,-1.590612793E1,-5.077915192E1,5.454675535E1
2.009819542E0,1.210189056E1,-1.565567780E1,-4.990099335E1,5.368114324E1
2.019752542E0,1.213515472E1,-1.581417084E1,-5.023809814E1,5.404827920E1
2.029684542E0,1.223447418E1,-1.580778503E1,-5.037518311E1,5.419619451E1
2.039617542E0,1.211773682E1,-1.617362976E1,-5.051892090E1,5.441127837E1
2.049549542E0,1.229090881E1,-1.575312805E1,-5.037850189E1,5.419613396E1
2.059482542E0,1.205253601E1,-1.587613678E1,-5.064682007E1,5.442807847E1
2.069414542E0,1.222001648E1,-1.559593201E1,-5.019882965E1,5.396743830E1
2.079346542E0,1.223501587E1,-1.583566284E1,-5.037782288E1,5.420690794E1
2.089279542E0,1.247703552E1,-1.555079651E1,-5.016300964E1,5.397991501E1
2.099211542E0,1.213977814E1,-1.580907440E1,-5.042402649E1,5.422069249E1
2.109144542E0,1.209888458E1,-1.562551117E1,-5.011114502E1,5.386711857E1
2.119076542E0,1.218444824E1,-1.586602020E1,-5.066506195E1,5.447145930E1
2.129009542E0,1.219613647E1,-1.566419220E1,-5.015296173E1,5.393915306E1
2.138941542E0,1.200347137E1,-1.573813629E1,-5.048037720E1,5.422214253E1
2.148874542E0,1.215055084E1,-1.562421417E1,-5.033721161E1,5.408869408E1
2.158806542E0,1.214528656E1,-1.580422211E1,-5.030941772E1,5.411394399E1
2.168738542E0,1.231829834E1,-1.546743011E1,-5.023789215E1,5.398914406E1
2.178671542E0,1.221488190E1,-1.574254608E1,-5.038597107E1,5.418281257E1
2.188603542E0,1.228799438E1,-1.549068451E1,-5.037255859E1,5.411423816E1
2.198536542E0,1.224807739E1,-1.584589386E1,-5.043077850E1,5.426206016E1
